fecha,sector,region,segmento,exposicion,num_contratos,tasa_bruta_mensual,pd_mensual,lgd,perdida_esperada_monto,perdida_esperada_tasa,rendimiento_neto_mensual,pct_cartera_mensual,limite_maximo_ejemplo_pct
2021-01-31,Agroindustria,Bajio,Agroindustria - Bajio,80147106.05,32,0.018739,0.009,0.416834,300672.22,0.003752,0.014987,0.026243,0.1461
2021-01-31,Agroindustria,Centro,Agroindustria - Centro,104236252.61,51,0.019443,0.01,0.505649,527069.35,0.005056,0.014387,0.034131,0.148
2021-01-31,Agroindustria,Norte,Agroindustria - Norte,91667298.06,44,0.01896,0.0095,0.484063,421540.91,0.004599,0.014361,0.030015,0.0963
2021-01-31,Agroindustria,Sur,Agroindustria - Sur,56027726.38,27,0.02026,0.012,0.461023,309961.06,0.005532,0.014727,0.018346,0.1325
2021-01-31,Comercio,Bajio,Comercio - Bajio,149904813.98,117,0.018599,0.0081,0.457067,554984.12,0.003702,0.014896,0.049085,0.0986
2021-01-31,Comercio,Centro,Comercio - Centro,194675999.75,139,0.016799,0.009,0.466506,817357.83,0.004199,0.012601,0.063745,0.1481
2021-01-31,Comercio,Norte,Comercio - Norte,172651451.91,162,0.020309,0.00855,0.386124,569984.73,0.003301,0.017008,0.056533,0.1952
2021-01-31,Comercio,Sur,Comercio - Sur,104904207.2,86,0.020125,0.0108,0.425716,482321.95,0.004598,0.015527,0.03435,0.0872
2021-01-31,Construccion,Bajio,Construccion - Bajio,95014400.39,28,0.021471,0.0117,0.598836,665706.69,0.007006,0.014465,0.031111,0.0817
2021-01-31,Construccion,Centro,Construccion - Centro,123822268.73,36,0.020422,0.013,0.571391,919762.78,0.007428,0.012994,0.040544,0.1817
2021-01-31,Construccion,Norte,Construccion - Norte,109326521.43,27,0.022516,0.01235,0.513092,692768.12,0.006337,0.016179,0.035798,0.1426
2021-01-31,Construccion,Sur,Construccion - Sur,66538063.93,17,0.02194,0.0156,0.573129,594904.81,0.008941,0.012999,0.021787,0.2056
2021-01-31,Manufactura,Bajio,Manufactura - Bajio,180030103.59,56,0.016393,0.0054,0.420572,408864.81,0.002271,0.014122,0.058949,0.1784
